id	title	description	link	image_link	additional_image_link	availability	rich_text_description	price	sale_price	brand	condition	color	gender	material	size	item_group_id	identifier_exists	quantity_to_sell_on_facebook	product_type
b6bd1e92-0f58-428e-af25-73c8eda7945c	Mesa Escrivaninha Infinity 1 Gaveta Castro	Mesa Office Infinity 1 Gaveta 80cm Branco Line<br>A Linha infinity da Móveis Castro é produzida em estrutura MDP e com acabamento em U.V. e oferece um amplo espaço e perfeita distribuição interna, além de agregar beleza e qualidade ao seu ambiente. Pode ser usado no quarto, no escritório. Você pode escolher!<br>Suporta Até (kg) 10<br>Profundidade (cm)<br>45<br>Largura (cm)<br>80<br>Altura (cm)<br>75.5	https://moveismorante.com.br/produto/mesa-escrivaninha-infinity-1-gaveta-castro	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785851999503-pasted_1785851999503.jpg	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785852004495-pasted_1785852004495.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785852009081-pasted_1785852009081.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785852013788-pasted_1785852013788.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785852025212-pasted_1785852025212.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785852032052-pasted_1785852032052.jpg	in stock	Mesa Office Infinity 1 Gaveta 80cm Branco Line<br>A Linha infinity da Móveis Castro é produzida em estrutura MDP e com acabamento em U.V. e oferece um amplo espaço e perfeita distribuição interna, além de agregar beleza e qualidade ao seu ambiente. Pode ser usado no quarto, no escritório. Você pode escolher!<br>Suporta Até (kg) 10<br>Profundidade (cm)<br>45<br>Largura (cm)<br>80<br>Altura (cm)<br>75.5	249.00 BRL		Móveis Morante	new		unisex				no	10	Furniture
balcao-de-cozinha-3-portas-com-tampo-120m-napoli-freijomattareia	Balcão de Cozinha 3 Portas com Tampo 1,20m Napoli	Balcão de Cozinha 3 Portas com Tampo 1,20m Napoli Darmovel O Balcão Napoli 3 portas é produzido com materiais de ótima qualidade, seu design oferece praticidade e facilidade de organização dos utensílios, além de um excelente espaço interno. Seu acabamento em pintura Ultra Violeta (UV) traz durabilidade e estilo ao produto.<br>Dimensões: Altura: 81cm Largura: 1,20m Profundidade: 40cm	https://moveismorante.com.br/produto/balcao-de-cozinha-3-portas-com-tampo-120m-napoli?var=28b47177-c129-4c86-9fb0-0eb467d60b4c	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785870494189-1785870494188.jpg	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785870498792-1785870498791.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785870503680-1785870503680.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785870513707-1785870513707.jpg	in stock	Balcão de Cozinha 3 Portas com Tampo 1,20m Napoli Darmovel O Balcão Napoli 3 portas é produzido com materiais de ótima qualidade, seu design oferece praticidade e facilidade de organização dos utensílios, além de um excelente espaço interno. Seu acabamento em pintura Ultra Violeta (UV) traz durabilidade e estilo ao produto.<br>Dimensões: Altura: 81cm Largura: 1,20m Profundidade: 40cm	449.00 BRL		Móveis Morante	new	Freijó Matt/Areia	unisex				no	999	Furniture
balcao-de-cozinha-3-portas-com-tampo-120m-napoli-branco	Balcão de Cozinha 3 Portas com Tampo 1,20m Napoli	Balcão de Cozinha 3 Portas com Tampo 1,20m Napoli Darmovel O Balcão Napoli 3 portas é produzido com materiais de ótima qualidade, seu design oferece praticidade e facilidade de organização dos utensílios, além de um excelente espaço interno. Seu acabamento em pintura Ultra Violeta (UV) traz durabilidade e estilo ao produto.<br>Dimensões: Altura: 81cm Largura: 1,20m Profundidade: 40cm	https://moveismorante.com.br/produto/balcao-de-cozinha-3-portas-com-tampo-120m-napoli?var=be11659e-412b-427b-8a0f-572b44b18367	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785870506614-1785870506613.jpg	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785870510583-1785870510583.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785870513707-1785870513707.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785870520645-1785870520645.jpg	in stock	Balcão de Cozinha 3 Portas com Tampo 1,20m Napoli Darmovel O Balcão Napoli 3 portas é produzido com materiais de ótima qualidade, seu design oferece praticidade e facilidade de organização dos utensílios, além de um excelente espaço interno. Seu acabamento em pintura Ultra Violeta (UV) traz durabilidade e estilo ao produto.<br>Dimensões: Altura: 81cm Largura: 1,20m Profundidade: 40cm	449.00 BRL		Móveis Morante	new	Branco	unisex				no	999	Furniture
88b3cfd1-4c7e-4892-9c3f-508a7cba1573	Rack com Painel para TV de até 75 Polegadas Ouro Preto	**Fazemos serviço de fixar este painel na parede por 100 reais**<br>Rack com Painel para TV de até 75 Polegadas 2 Gavetas 1 Porta Ouro Preto Linea Brasil<br>O Conjunto Ouro Preto foi projetado para TV de até 75 polegadas, contendo painel ripado e fita de Led que deixam a sua sala ainda mais moderna. Além disso, o módulo lateral pode ser montado do lado direito ou esquerdo do móvel, à sua escolha (montagem flex).<br>Características:<br>Estrutura em MDF/MDP<br>Tampo com espessura de 37mm<br>2 gavetas<br>Corrediças telescópicas<br>1 porta de abrir com detalhes de frisos<br>4 prateleiras de 25mm<br>Luminária de led<br>Haste metálica<br>Dimensões:<br>Altura: 198 cm<br>Largura: 224 cm<br>Profundidade: 41 cm<br>Peso: 109,50 kg	https://moveismorante.com.br/produto/rack-com-painel-para-tv-de-ate-75-polegadas-ouro-preto	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083153016-1785083153016.jpg	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083143092-1785083143092.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083146943-1785083146943.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083168648-1785083168648.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083172761-1785083172761.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083181815-1785083181815.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083185518-1785083185518.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083191155-1785083191155.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083195162-1785083195162.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083200122-1785083200122.jpg	in stock	**Fazemos serviço de fixar este painel na parede por 100 reais**<br>Rack com Painel para TV de até 75 Polegadas 2 Gavetas 1 Porta Ouro Preto Linea Brasil<br>O Conjunto Ouro Preto foi projetado para TV de até 75 polegadas, contendo painel ripado e fita de Led que deixam a sua sala ainda mais moderna. Além disso, o módulo lateral pode ser montado do lado direito ou esquerdo do móvel, à sua escolha (montagem flex).<br>Características:<br>Estrutura em MDF/MDP<br>Tampo com espessura de 37mm<br>2 gavetas<br>Corrediças telescópicas<br>1 porta de abrir com detalhes de frisos<br>4 prateleiras de 25mm<br>Luminária de led<br>Haste metálica<br>Dimensões:<br>Altura: 198 cm<br>Largura: 224 cm<br>Profundidade: 41 cm<br>Peso: 109,50 kg	2599.00 BRL	2199.00 BRL	Móveis Morante	new		unisex				no	10	Furniture
69d2f7c6-9ec0-473f-ae73-36b774b3dda8	Guarda Roupa 2,67m Florence 6 Portas 3 Gavetas	O Guarda-Roupa Florence une design contemporâneo, amplo espaço interno e praticidade para deixar seu quarto mais organizado e elegante. Seu visual moderno é valorizado pelos puxadores em perfil MDF e pelas portas centrais com detalhe ripado, proporcionando um acabamento sofisticado que combina com diversos estilos de decoração.<br>Projetado para oferecer mais conforto no dia a dia, conta com 3 gavetas equipadas com corrediças telescópicas de extração total, permitindo abertura completa e acesso facilitado aos objetos. As portas possuem dobradiças com amortecimento, garantindo um fechamento suave, silencioso e maior durabilidade.<br>Seu amplo espaço interno é bem distribuído, proporcionando excelente organização para roupas, calçados, acessórios e demais pertences.<br>Características<br>- Estrutura em MDP.<br>- 6 portas.<br>- 3 gavetas com corrediças telescópicas de extração total.<br>- Dobradiças com sistema de amortecimento.<br>- Puxadores em perfil MDF.<br>- Portas centrais com detalhe ripado.<br>- Amplo espaço interno com excelente divisão.<br>- Design moderno e sofisticado.<br>Dimensões<br>- Altura: 231,8 cm<br>- Largura: 267 cm<br>- Profundidade: 51 cm<br>Peso suportado<br>- Peso máximo por gaveta: 5 kg.	https://moveismorante.com.br/produto/guarda-roupa-267m-florence-6-portas-3-gavetas	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083465761-1785083465761.jpg	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083461524-1785083461523.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083469488-1785083469488.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083474085-1785083474085.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083478630-1785083478629.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083482928-1785083482928.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083486977-1785083486977.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083490613-1785083490613.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083494366-1785083494366.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083497624-1785083497624.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083500698-1785083500698.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785083504660-1785083504660.jpg	in stock	O Guarda-Roupa Florence une design contemporâneo, amplo espaço interno e praticidade para deixar seu quarto mais organizado e elegante. Seu visual moderno é valorizado pelos puxadores em perfil MDF e pelas portas centrais com detalhe ripado, proporcionando um acabamento sofisticado que combina com diversos estilos de decoração.<br>Projetado para oferecer mais conforto no dia a dia, conta com 3 gavetas equipadas com corrediças telescópicas de extração total, permitindo abertura completa e acesso facilitado aos objetos. As portas possuem dobradiças com amortecimento, garantindo um fechamento suave, silencioso e maior durabilidade.<br>Seu amplo espaço interno é bem distribuído, proporcionando excelente organização para roupas, calçados, acessórios e demais pertences.<br>Características<br>- Estrutura em MDP.<br>- 6 portas.<br>- 3 gavetas com corrediças telescópicas de extração total.<br>- Dobradiças com sistema de amortecimento.<br>- Puxadores em perfil MDF.<br>- Portas centrais com detalhe ripado.<br>- Amplo espaço interno com excelente divisão.<br>- Design moderno e sofisticado.<br>Dimensões<br>- Altura: 231,8 cm<br>- Largura: 267 cm<br>- Profundidade: 51 cm<br>Peso suportado<br>- Peso máximo por gaveta: 5 kg.	2999.00 BRL	2599.00 BRL	Móveis Morante	new		unisex				no	10	Furniture
c85fa4be-964c-46b7-ad3f-d0eba38ed4a3	Cabeceira 160 Queen ADF Paris Veludo	Cabeceira estofada ADF Paris Casal, 160, tecido veludo grafite, acompanha pá de chapas para fixação na base	https://moveismorante.com.br/produto/cabeceira-160-queen-adf-paris-veludo	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786324360974-1786324360974.jpg	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786324363740-1786324363740.jpg	in stock	Cabeceira estofada ADF Paris Casal, 160, tecido veludo grafite, acompanha pá de chapas para fixação na base	399.00 BRL		Móveis Morante	new		unisex				no	10	Furniture
de95603c-0a5d-44dc-9b7c-cac1e10ec9e2	Sofá Pop 2 Lugares Veludo	Sofá Pop 2 lugares, tecido veludo, densidade 20kg/m², pés de plástico.<br>Largura: 123<br>Profundidade: 72<br>Altura: 88 (48 até o acento)	https://moveismorante.com.br/produto/sofa-pop-2-lugares-veludo	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786402668322-1786402668322.jpg	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786402656984-1786402656983.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786402660530-1786402660530.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786402664766-1786402664766.jpg	in stock	Sofá Pop 2 lugares, tecido veludo, densidade 20kg/m², pés de plástico.<br>Largura: 123<br>Profundidade: 72<br>Altura: 88 (48 até o acento)	399.00 BRL		Móveis Morante	new		unisex				no	10	Furniture
fd45f9de-975e-4805-b48a-edf05ef4646c	Cadeira para Escritório / Sala de Espera Super Reforçada	‼️Móvel usado, por isso contém riscados e outras imperfeições. Preço reduzido, Aproveite!‼️<br>Cadeira para Escritório, com tecido courino, pés em tubos de aço super resistentes, espuma no acento e encosto 55kg/m3.<br>Largura: 44<br>Altura:80 (43 até o acento)<br>Profundidade: 48	https://moveismorante.com.br/produto/cadeira-para-escritorio-sala-de-espera-super-reforcada	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786327322060-1786327322060.jpg	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786327324905-1786327324905.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786327327947-1786327327947.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786327331062-1786327331061.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786327334369-1786327334369.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786327337627-1786327337626.jpg	in stock	‼️Móvel usado, por isso contém riscados e outras imperfeições. Preço reduzido, Aproveite!‼️<br>Cadeira para Escritório, com tecido courino, pés em tubos de aço super resistentes, espuma no acento e encosto 55kg/m3.<br>Largura: 44<br>Altura:80 (43 até o acento)<br>Profundidade: 48	199.00 BRL	120.00 BRL	Móveis Morante	new		unisex				no	10	Furniture
f29ea5ad-4c90-4ef5-9008-ea999329d4dd	Cama Infantil Montessoriana Casal Em MDF Tony Mobikasa	Cama Infantil Montessoriana Casal Em MDF Tony Mobikasa<br>A Cama Montessoriana Tony Mobikasa é a escolha perfeita para quem busca aliar funcionalidade, segurança e design no quarto infantil. Produzida em 100% MDF , ela oferece uma estrutura robusta e acabamento refinado, garantindo durabilidade e resistência para acompanhar as diferentes fases da infância. Com um estilo moderno e linhas suaves, a cama conta com laterais de proteção em tom amadeirado, proporcionando mais segurança durante o sono. A altura reduzida em relação ao chão é ideal para estimular a autonomia das crianças, permitindo que elas entrem e saiam da cama com facilidade e segurança. A Cama Tony é perfeita para criar um quarto montessoriano, onde a criança se sente livre para explorar e desenvolver sua independência de maneira segura e confortável.<br>Características:<br>Estrutura em MDF 15mm<br>Travessas para estrado em 25mm<br>Possui laterais seguras<br>Design moderno<br>Estimula autonomia das crianças<br>Suporta peso de até 80kg<br>Ideal para colchão tamanho 188x138cm (colchões não inclusos)<br>Dimensões:<br>Altura: 48 cm<br>Largura: 143 cm<br>Profundidade: 193 cm<br>Peso: 60,50 kg	https://moveismorante.com.br/produto/cama-infantil-montessoriana-casal-em-mdf-tony-mobikasa	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785247592342-1785247592339.jpg	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785247593952-1785247593951.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785247595222-1785247595221.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785247596477-1785247596476.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1785247597768-1785247597768.jpg	in stock	Cama Infantil Montessoriana Casal Em MDF Tony Mobikasa<br>A Cama Montessoriana Tony Mobikasa é a escolha perfeita para quem busca aliar funcionalidade, segurança e design no quarto infantil. Produzida em 100% MDF , ela oferece uma estrutura robusta e acabamento refinado, garantindo durabilidade e resistência para acompanhar as diferentes fases da infância. Com um estilo moderno e linhas suaves, a cama conta com laterais de proteção em tom amadeirado, proporcionando mais segurança durante o sono. A altura reduzida em relação ao chão é ideal para estimular a autonomia das crianças, permitindo que elas entrem e saiam da cama com facilidade e segurança. A Cama Tony é perfeita para criar um quarto montessoriano, onde a criança se sente livre para explorar e desenvolver sua independência de maneira segura e confortável.<br>Características:<br>Estrutura em MDF 15mm<br>Travessas para estrado em 25mm<br>Possui laterais seguras<br>Design moderno<br>Estimula autonomia das crianças<br>Suporta peso de até 80kg<br>Ideal para colchão tamanho 188x138cm (colchões não inclusos)<br>Dimensões:<br>Altura: 48 cm<br>Largura: 143 cm<br>Profundidade: 193 cm<br>Peso: 60,50 kg	1299.00 BRL	1099.00 BRL	Móveis Morante	new		unisex				no	10	Furniture
balcao-para-pia-de-120m-3-gavetas-100-mdf-florenca-angelincinza	Balcão para Pia de 1,20m 3 Gavetas 100% MDF Florença	Balcão para pia Florença, 3 gavetas, corrediças telescópicas, puxador invisível, em mdf<br>‼️pia não inclusa‼️<br>Peso: 35.650 kg<br>Largura: 120 cm<br>Altura: 87 cm<br>Profunidade: 50 cm	https://moveismorante.com.br/produto/balcao-para-pia-de-120m-3-gavetas-100-mdf-florenca?var=8c3c1475-f97e-453f-9023-0bd505c0ef14	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786331803256-1786331803256.jpg	https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786331833960-1786331833960.jpg,https://pub-389127050a434f568c29dc66bdce2567.r2.dev/1786331836591-1786331836591.jpg	in stock	Balcão para pia Florença, 3 gavetas, corrediças telescópicas, puxador invisível, em mdf<br>‼️pia não inclusa‼️<br>Peso: 35.650 kg<br>Largura: 120 cm<br>Altura: 87 cm<br>Profunidade: 50 cm	599.00 BRL		Móveis Morante	new	Angelin/Cinza	unisex				no	999	Furniture
